"title_name","address1","address2","city","region","country","postalCode","competition_corner","price","priceCurrency","organizer","type_description","contact_details","startDate","startMonth","startYear","endDate","endMonth","endYear","page_url"
"British Teens & Masters CrossFit® Championships 2022","CrossFit Southampton","","","","United Kingdom","emma@crossfitshapesmiths.co.uk","Competition Corner","65.0","GBP","British Teens and Masters Championships","Onsite Competition for Individuals","emma@crossfitshapesmiths.co.uk","10","09","2022","11","09","2022","https://competitioncorner.net/events/7642/details"
"VIDAFIT SUPER SERIES 2022","VIDAFIT HQ","408 Yaamba Road","Rockhampton","QLD","Australia","4701","Competition Corner","0.0","AUD","","Onsite Competition for Teams","","10","09","2022","10","09","2022","https://competitioncorner.net/events/7855/details"
"Do More Charity Challenge Fall 2022","CrossFit Loop","136 S Wilcox St","Castle Rock","CO","United States","80104","Competition Corner","","","Do More Charity Challenge 2022","Onsite Competition for Teams","","10","09","2022","10","09","2022","https://competitioncorner.net/events/7436/details"
"Turf Wars: Fitness Competition","Nevermore CrossFit: Outdoor Location","5731 Cottonworth Ave.","Baltimore","MD","United States","21209","Competition Corner","0.0","USD","Turf Wars 2022","Onsite Competition for Teams","","10","09","2022","10","09","2022","https://competitioncorner.net/events/7470/details"
"2nd Annual GoVirtue Throwdown ","Crossfit Tailwinds ","5530-1 Florida Mining Blvd S","Jacksonville ","FL","United States","32257","Competition Corner","","","GoVirtue Throwdown ","Onsite Competition for Teams","","10","09","2022","10","09","2022","https://competitioncorner.net/events/7534/details"
"Cruel Summer at STRANGE Strength and Conditioning  ","STRANGE Strength and Conditioning ","11127  Vanowen St., Unit B ","North Hollywood","CA","United States","91605","Competition Corner","","","Strange Strength and Conditioning ","Onsite Competition for Teams","","10","09","2022","10","09","2022","https://competitioncorner.net/events/7755/details"
"WODtoberfest 2022","3-46 GRIT CrossFit","346 NE 219th Street","Gresham","OR","United States","97030","Competition Corner","","","","Onsite Competition for Teams","","10","09","2022","10","09","2022","https://competitioncorner.net/events/7797/details"
"UNCOMMON FALL GAMES","UNCOMMON FITNESS WEST","161 Miranda Ct ste b, El Paso, TX 79932","El PASO","TX","United States","79932","Competition Corner","","","UFW","Onsite Competition for Individuals","","10","09","2022","11","09","2022","https://competitioncorner.net/events/7935/details"
"Top of Box 2022","Planters Bank-Jennie Stuart Health Sportsplex Hopkinsville","155 Tilley Wy","Hopkinsville","KY","United States","42240","Competition Corner","","","Ergon Elite Fitness","Onsite Competition for Individuals and teams","","10","09","2022","11","09","2022","https://competitioncorner.net/events/7047/details"
"CrossFit TMA Spring Fling ","CrossFit TMA ","7 Bradford Street ","Wodonga ","71","Australia","3690","Competition Corner","","","Spring Fling 2022","Onsite Competition for Teams","","10","09","2022","10","09","2022","https://competitioncorner.net/events/8043/details"
"The Lancashire Championships","CrossFit DeltaFox","Duchess Street","Darwen","Lancashire","United Kingdom","BB30QQ","Competition Corner","","","The Lancashire Championships","Onsite Competition for Teams","","10","09","2022","11","09","2022","https://competitioncorner.net/events/6454/details"
"Highway Games OPEN VII - 10-11 september 2022","Crossfit Highway","Gottorpsgatan 51","Linköping","","Sweden","582 73","Competition Corner","","","Highway Games","Onsite Competition for Individuals and teams","","10","09","2022","11","09","2022","https://competitioncorner.net/events/6736/details"
"The Summer Grudge","MachineLab Fitness","1410  E Wisconsin street","Portage","WI","United States","53901","Competition Corner","","","The Grudge Match","Onsite Competition for Individuals and teams","","10","09","2022","10","09","2022","https://competitioncorner.net/events/7165/details"
"B3-Beauties, Beers, and Barbells - Redemption","Redemption Fitness","200 Travis Lane","Waukesha","WI","United States","53189","Competition Corner","","","Redemption Fitness","Onsite Competition for Teams","","10","09","2022","10","09","2022","https://competitioncorner.net/events/7484/details"
"Midwest Fall Classic 2022","CrossFit 51","11915 E. 51st Street","Tulsa","OK","United States","74146","Competition Corner","","","Midwest Fall Classic 2019","Onsite Competition for Teams","","10","09","2022","10","09","2022","https://competitioncorner.net/events/7499/details"
"The Triple Threat Throwdown","F13 Performance","7562 Penn Drive Suite 160","Allentown","PA","United States","18106","Competition Corner","","","","Onsite Competition for Teams","","10","09","2022","10","09","2022","https://competitioncorner.net/events/7598/details"
"Destruktionen Summer Challenge '22","Destruktionen Assens","Tørvelodsvej 3","Assens","","Denmark","5610","Competition Corner","","","Rx'd Events","Onsite Competition for Teams","","10","09","2022","11","09","2022","https://competitioncorner.net/events/7637/details"
"BATTLE of U.T","ARÈNES de LATTES","27 avenue des flamants roses ","Lattes ","Herault ","France","34970","Competition Corner","0.0","EUR","","Onsite Competition for Teams","","10","09","2022","10","09","2022","https://competitioncorner.net/events/7791/details"
"Apollo Cup 2022","Tramore Race Course ","Tramore Race Course Tramore ","Waterford ","Waterford","Ireland","","Competition Corner","","","Apollo Cup 2022","Onsite Competition for Teams","","10","09","2022","11","09","2022","https://competitioncorner.net/events/7807/details"
"HOT Strength and Fitness","Waco Convention Center","100 Washington Avenue","Waco","TX","United States","76701","Competition Corner","","","HOT Strength and Fitness Expo","Onsite Competition for Teams","","10","09","2022","10","09","2022","https://competitioncorner.net/events/7837/details"
"Outdoor Throwdown @ The Beach - Final Buddy edition 2022","The Hague Beach Stadium","Strandweg 4","Den Haag","Zuid-Holland","Netherlands","2586 JK","Competition Corner","","","Indoor & Outdoor Throwdown @ The Beach","Onsite Competition for Teams","","10","09","2022","10","09","2022","https://competitioncorner.net/events/8041/details"
"Crossfit World Competencia Interna","Crossfit World","Degollado Sur 728","Monterrey","Nuevo Leon","Mexico","","Competition Corner","0.0","MXN","Crossfit World Internal Competition","Onsite Competition for Individuals and teams","","10","09","2022","11","09","2022","https://competitioncorner.net/events/8133/details"
"River City Throwdown","Top Teer Strength","1260 FM 1863","New Braunfels","TX","United States","78130","Competition Corner","40.0","USD","","Onsite Competition for Individuals","","10","09","2022","10","09","2022","https://competitioncorner.net/events/8206/details"
"Combattre le Feu par le Feu - Master Edition 2022 - Indy","C2 Athletics","105A rue Daoust","Saint-Eustache","QC","Canada","J7R6P4","Competition Corner","","","Masters cup","Onsite Competition for Individuals","","10","09","2022","10","09","2022","https://competitioncorner.net/events/8235/details"
"Concept2 Ergathlon 2022","CrossFit Hafencity ","Baakenallee 56","Hamburg","Hamburg","Germany","20457","Competition Corner","","","The Package","Onsite Competition for Individuals","","10","09","2022","10","09","2022","https://competitioncorner.net/events/6667/details"
"Workouts 4 Warriors","CrossFit Fargo","5292 51st Ave S","Fargo","29","United States","58104","Competition Corner","10.0","USD","CrossFit Fargo","Onsite Competition for Individuals and teams","","10","09","2022","11","09","2022","https://competitioncorner.net/events/8110/details"
"River City Throwdown by Lokal Strength","Top Teer","1260 FM-1863 Unit 3 ","New Braunfels ","TX","United States","78132","Competition Corner","","","River City Throwdown","Onsite Competition for Teams","","10","09","2022","10","09","2022","https://competitioncorner.net/events/7166/details"
"Deep Well In-House Competition","Deep Well Athletics","1010 N Main St","Mooresville","28","United States","28115","Competition Corner","0.0","USD","","Onsite Competition for Teams","","10","09","2022","10","09","2022","https://competitioncorner.net/events/8065/details"
"Bull Ring","ShireFit Corby","","","","United Kingdom","","Competition Corner","0.0","GBP","Fitness","Onsite Competition for Teams","","10","09","2022","10","09","2022","https://competitioncorner.net/events/8180/details"
"The Yorkshire Throwdown - 3's a Crowd ","Strong101 ","Unit 5a Prince George trading estate, Skinner lane","Pontefract","West Yorkshire ","United Kingdom","Wf8 1hx ","Competition Corner","","","The Yorkshire Throwdown Series","Onsite Competition for Teams","","10","09","2022","10","09","2022","https://competitioncorner.net/events/7230/details"
"TEAM BATTLE @ the Bay","Paradise Point Island Resort","1404 Vacation Rd ","san diego","CA","United States","92109","Competition Corner","","","","Onsite Competition for Teams","","10","09","2022","10","09","2022","https://competitioncorner.net/events/7998/details"
"BUTTERFLY EFFECT LIVE GC THROWDOWN 2022","Gold Coast Performance Centre, Runaway Bay","1 Sports Drive","Runaway Bay","QLD","Australia","4216","Competition Corner","","","Butterfly Effect","Onsite Competition for Teams","","11","09","2022","11","09","2022","https://competitioncorner.net/events/7735/details"
"Initium Contest","","","","","France","","Competition Corner","","","Initium Contest","Onsite Competition for Teams","","11","09","2022","11","09","2022","https://competitioncorner.net/events/7667/details"
"The Elevate Games","Elevate Fitness and Movement","87 Princes Highway","Littlehampton","SA","Australia","5250","Competition Corner","0.0","AUD","The Elevate Games","Onsite Competition for Teams","","11","09","2022","11","09","2022","https://competitioncorner.net/events/8164/details"
"3F Throwdown 2022 - ONLINE QUALIFIERS","","","","","","","Competition Corner","11.0","EUR","3F Throwdown","Virtual Competition for Individuals","","14","09","2022","26","09","2022","https://competitioncorner.net/events/7995/details"
"2022-2023 TYR Wodapalooza Online Challenge & Qualifier ","","","","","","","Competition Corner","20.0","USD","Loud And Live Sports","Virtual Competition for Individuals and teams","","15","09","2022","24","10","2022","https://competitioncorner.net/events/7907/details"
"The Bionic Rowing Challenge | By WODProof","","","","","","","Competition Corner","20.0","USD","WODProof","Virtual Competition for Individuals and teams","","15","09","2022","01","10","2022","https://competitioncorner.net/events/8269/details"
"Battle at the Ranch","181 Ranch ","3913 E. 181st St South","Bixby","OK","United States","74008","Competition Corner","","","Battle at the Ranch","Onsite Competition for Teams","","16","09","2022","17","09","2022","https://competitioncorner.net/events/6577/details"
"ZRH GMS 022","Zurich Main Station","","Zurich","ZH","Switzerland","8001","Competition Corner","","","ZRH GMS","Onsite Competition for Individuals and teams","","16","09","2022","18","09","2022","https://competitioncorner.net/events/6798/details"
"Wodcelona 2022","Barcelona","Parc del Fòrum ","Barcelona","Barcelona","Spain","","Competition Corner","90.0","EUR","2022 Wodcelona Online Challenge & Qualifier","Onsite Competition for Individuals and teams","","16","09","2022","18","09","2022","https://competitioncorner.net/events/7984/details"
"Battle Of The Crown #7 Team Final","CrossFit des Sacres","27 rue du commerce","cormontreuil","Marne","France","51350","Competition Corner","","","Battle Of the Crown","Onsite Competition for Teams","","17","09","2022","19","09","2022","https://competitioncorner.net/events/7540/details"
"FITTEST GORILLA CHALLENGE FINALS 2022","CROSSFIT BACKSTREET ","ANKARA","ANKARA","ÇANKAYA","Turkey","06460","Competition Corner","35.0","USD","orcanyazici@gmail.com","Onsite Competition for Individuals","","17","09","2022","17","09","2022","https://competitioncorner.net/events/8172/details"
"Allstar Alliance New South Wales Qualifier 2022","TBA","Sydney Olympic Park","Sydney","NSW","Australia","2000","Competition Corner","0.0","AUD","Allstars Alliance 2022","Onsite Competition for Teams","","17","09","2022","18","09","2022","https://competitioncorner.net/events/3396/details"
"BERJALLIE CONTEST 2022","CrossFit Bourgoin","26 bis, rue de l'oiselet ","Bourgoin-Jallieu","Isère","France","38300","Competition Corner","0.0","EUR","BERJALLIE CONTEST ","Onsite Competition for Teams","","17","09","2022","18","09","2022","https://competitioncorner.net/events/7113/details"
"Rumble on the Bay 2022","Capital Credit Union Park","2231 Holmgren Way","Green Bay","WI","United States","54304","Competition Corner","0.0","USD","Rumble on the Bay 2022 presented by Pella Windows and Doors of WI","Onsite Competition for Teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/7248/details"
"GRIT Series - 22 Patriot Gauntlet ","CrossFit BlueDog","4898 N Runway Dr  Suite 101","Central Point","OR","United States","97502","Competition Corner","0.0","USD","GRIT Series","Onsite Competition for Teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/7787/details"
"The Phoenix","CrossFit SoChac","11600 Menchaca Rd ","Austin","TX","United States","78748","Competition Corner","0.0","USD","","Onsite Competition for Teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/7852/details"
"Battle of the 91","CrossFit Inversion West","612 N Eckhoff St","Orange","CA","United States","92868","Competition Corner","0.0","USD","Battle of the 91","Onsite Competition for Teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/7898/details"
"South Wharf Showdown 2022","Crossfit South Wharf","297 Ingles Street, Port Melbourne","Melbourne","VIC","Australia","3015","Competition Corner","70.0","AUD","","Onsite Competition for Individuals","","17","09","2022","18","09","2022","https://competitioncorner.net/events/8087/details"
"Warrior Affiliate League - ""Three Amigos"" 3-person Team competition","CROSSFIT FONTANA","7940 CHERRY AVE","FONTANA","CA","United States","92336","Competition Corner","","","Warrior Affiliate League","Onsite Competition for Teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/7154/details"
"Barbells for Boob @ Inversion West","CrossFit Inversion West","612 N Eckhoff st","Orange","CA","United States","92868","Competition Corner","50.0","USD","Battle of the 91","Onsite Competition for Individuals","","17","09","2022","18","09","2022","https://competitioncorner.net/events/7925/details"
"FITTEST IN THE WEST","WISER1 CROSSFIT","Shed 1/170 Mt Crosby Rd, Nth Tivoli","Ipswich","QLD","Australia","4305","Competition Corner","0.0","AUD","FITTEST IN THE WEST","Onsite Competition for Teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/8060/details"
"Frankton Battle","CrossFit Frankton","5 rue jean baptiste greuze","st medard en jalles","Gironde","France","33160","Competition Corner","","","Frankton Battle","Onsite Competition for Individuals and teams","","17","09","2022","18","09","2022","https://competitioncorner.net/events/6488/details"
"Collective Cup 2022","CrossFit Collective ","1285 Manheim Pike ","Lancaster","PA","United States","17601","Competition Corner","","","Collective Cup","Onsite Competition for Teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/6756/details"
"Southcoast Showdown II","Sydkystens Gym","Snedkergangen 14","Karlslunde","","Denmark","2690","Competition Corner","0.0","DKK","Southcoast Showdown","Onsite Competition for Teams","","17","09","2022","18","09","2022","https://competitioncorner.net/events/7142/details"
"Fight's On Contest","Zone K CrossFit","582 Rue Guy Pernin","Toul","Meurthe-et-Moselle","France","54200","Competition Corner","25.0","EUR","Zone K CrossFit","Onsite Competition for Individuals and teams","","17","09","2022","18","09","2022","https://competitioncorner.net/events/7466/details"
"Partner Throwdown T4","Bull Strong Fitness","11800 Rojas C-6","El Paso","TX","United States","79936","Competition Corner","0.0","USD","Partner Throwdown T4","Onsite Competition for Teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/7674/details"
" Brethren Throwdown 2022","Brethren CrossFit","Address: 375 Tennant Ave","Morgan Hill","CA","United States","95037","Competition Corner","","","Throwdown","Onsite Competition for Individuals","","17","09","2022","17","09","2022","https://competitioncorner.net/events/7757/details"
"2nd Annual Shorebreak Summer Showdown","CROSSFIT SHOREBREAK","19400 Beach boulevard","Huntington Beach","CA","United States","92648","Competition Corner","0.0","USD","Shorebreak Summer Showdown","Onsite Competition for Teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/7841/details"
"TFX Throwdown @ Crossfit Central Downtown","Crossfit Central Downtown","410 Pressler Street","Austin","TX","United States","78703","Competition Corner","0.0","USD","The Fittest Experience","Onsite Competition for Teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/7912/details"
"Teams Of The Midway: 2 Person Teams 2022","CrossFit AMRAP","760 Industrial Drive, Suite B","Cary","IL","United States","60013","Competition Corner","","","","Onsite Competition for Teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/7939/details"
"East Coast Classic","Primitive CrossFit","916 park Ave Building 9 Unit 901  ","Freehold","NJ","United States","07728","Competition Corner","","","East Coast Classic","Onsite Competition for Teams","","17","09","2022","18","09","2022","https://competitioncorner.net/events/7951/details"
"TFX Throwdown @ Einhorn CrossFit","Einhorn CrossFit","149 Ferryboat Ln","New Braunfels","TX","United States","78130","Competition Corner","0.0","USD","The Fittest Experience","Onsite Competition for Teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/7975/details"
"Execution Games ","","1332 Londontown Blvd","Eldersburg ","MD","United States","21784","Competition Corner","","","Execution Games Throwdown ","Onsite Competition for Teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/7596/details"
"Mandelieu Team Throwdown","Centre Expo Congrès","","Mandelieu","","France","06210","Competition Corner","","","Président","Onsite Competition for Teams","","17","09","2022","18","09","2022","https://competitioncorner.net/events/6796/details"
"Override Off The Tracks","CrossFit Override","235 East Main St. ","Thomaston","CT","United States","06787","Competition Corner","0.0","USD","","Onsite Competition for Teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/7281/details"
"Girls Gone Rx Las Vegas","CrossFit Raw Appeal","7091 W Craig Rd, Ste 102","Las Vegas","NV","United States","89129","Competition Corner","0.0","USD","Girls Gone Rx","Onsite Competition for Teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/7294/details"
"Girls Gone Rx Chicago","CrossFit Park Ridge","6325 N Avondale Ave, 122","Chicago","IL","United States","60631","Competition Corner","0.0","USD","Girls Gone Rx","Onsite Competition for Teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/7296/details"
"Girls Gone Rx Denver","Ralston Creek CrossFit","6945 Indiana Street","Arvada","CO","United States","80007","Competition Corner","0.0","USD","Girls Gone Rx","Onsite Competition for Teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/7297/details"
"Girls Gone Rx Connecticut","Aisling.Fit","208 Providence Road, ","Brooklyn","CT","United States","06234 ","Competition Corner","0.0","USD","Girls Gone Rx","Onsite Competition for Teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/7298/details"
"Girls Gone Rx Central Texas","CrossFit Texas","641W Front Street"," Hutto","TX","United States","78634","Competition Corner","0.0","USD","Girls Gone Rx","Onsite Competition for Teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/7299/details"
"Battle Of The East","RS3FIT","Unit 10 Francis Way, Norwich, NR5 9JA","Norwich","Norfolk","United Kingdom","NR5 9JA","Competition Corner","0.0","GBP","Battle Of The East","Onsite Competition for Teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/7606/details"
"Girls Gone Rx Bellingham","CrossFit X","2031 Grant St","Bellingham","WA","United States","98225","Competition Corner","0.0","USD","Girls Gone Rx","Onsite Competition for Teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/7687/details"
"Girls Gone Rx Clearwater","CrossFit Rebels","2077 Sunnydale blvd","Clearwater","FL","United States","33765","Competition Corner","0.0","USD","Girls Gone Rx","Onsite Competition for Teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/7716/details"
"Girls Gone Rx Canada: Barrie","CrossFit Barrie","481 Welham Rd. Unit 1","Barrie","ON","Canada","L4N 8Z6","Competition Corner","0.0","CAD","Girls Gone Rx","Onsite Competition for Teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/7739/details"
"Girls Gone Rx Canada: Brockville","CrossFit BECC"," 555 California Ave Unit 4","Brockville ","ON","Canada","K6V 3G3","Competition Corner","0.0","CAD","Girls Gone Rx","Onsite Competition for Teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/7740/details"
"Girls Gone Rx Canada: Guelph","LIFT Fitness and Performance ","919 York rd, Ontario N1E 6N1 Canada","Guelph","ON","Canada"," N1E 6N1","Competition Corner","0.0","CAD","Girls Gone Rx","Onsite Competition for Teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/7780/details"
"Redox Ergatta 2022","Redox CrossFit","1530 E 59th Ave","Anchorage","AK","United States","99507","Competition Corner","95.0","USD","Owner","Onsite Competition for Individuals and teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/7966/details"
"GAN Team Throwdown 2022","Gan Sport Center","Баянгол дүүрэг，3 хороо，дунд гол, Уран Ган","Ulaanbaatar","*","Mongolia","16000","Competition Corner","","","","Onsite Competition for Teams","","17","09","2022","18","09","2022","https://competitioncorner.net/events/8091/details"
"The Triplet Throwdown SCALED FINAL","","","","","","","Competition Corner","15.0","EUR","The Triplet Throwdown","Virtual Competition for Individuals","","17","09","2022","17","09","2022","https://competitioncorner.net/events/8292/details"
"UA COMBINE 2022 Sydney","Jenko Pavilion & The Stables","Sydney Showground, Sydney Olympic Park","Sydney","NSW","Australia","2127","Competition Corner","100.0","AUD","UA Sports (S.E.A.) Pte. Ltd.","Onsite Competition for Individuals and teams","","17","09","2022","17","09","2022","https://competitioncorner.net/events/7930/details"
"Byers Face-Off 2022","","","","","","","Competition Corner","30.0","AUD","Byers Functional Fitness","Virtual Competition for Individuals","","18","09","2022","02","10","2022","https://competitioncorner.net/events/8063/details"
"Battle on the Border - Spring Edition 1.0","CrossFit Border","8/23 Enterprise Ave ","Tweed Heads South","NSW","Australia","2487","Competition Corner","","","Battle On The Border","Onsite Competition for Teams","","18","09","2022","18","09","2022","https://competitioncorner.net/events/7568/details"
"Girls Gone Rx UK x CF UF","CrossFit UF","1 Montgomery House, Bark St","Bolton","Manchester ","United Kingdom","BL1 2AX","Competition Corner","0.0","GBP","Girls Gone RX Europe","Onsite Competition for Teams","","18","09","2022","18","09","2022","https://competitioncorner.net/events/7242/details"
"Finals TeamUpLegends 2022","CrossFit Mobilis","Daniel Goedkoopstraat 29","Amsterdam","N-H","Netherlands","1096 BD","Competition Corner","","","TeamUpLegends","Onsite Competition for Teams","","18","09","2022","18","09","2022","https://competitioncorner.net/events/7819/details"
"The Fall Oly Open 2022","","","","","","","Competition Corner","45.0","USD","Girls Gone Rx","Virtual Competition for Individuals","","21","09","2022","23","10","2022","https://competitioncorner.net/events/7196/details"
"Marrakesh BeNN Battle 2022","Oasiria Marrakech","Route d'Amiziz, al-Mashwar-al-Qasabah, Marrakesh-Safi 40065","Marrakech","Maroc / Marrakech","Morocco","40000","Competition Corner","","","BeNN Adventure 22","Onsite Competition for Individuals and teams","","22","09","2022","24","09","2022","https://competitioncorner.net/events/7779/details"
"CrossFit Licensed Arnold Fitness Games - Scaled & Middle Ground","NEC","NEC","Birmingham","","United Kingdom","B40 1NT","Competition Corner","100.0","GBP","Battle For Middle Ground","Onsite Competition for Individuals","","23","09","2022","23","09","2022","https://competitioncorner.net/events/7517/details"
"2022 Heart of America Team Competition","Proximal Strength (CrossFit Springfield)","1900 W Sunset St, B100","Springfield","MO","United States","65807","Competition Corner","","","","Onsite Competition for Teams","","23","09","2022","25","09","2022","https://competitioncorner.net/events/7511/details"
"The Commonwealth Fitness Championship ","South Mountain Community Fitness ","2125 28th Street SW Suite 500 ","Allentown ","PA","United States","18103","Competition Corner","","","CFCLV","Onsite Competition for Individuals","","23","09","2022","25","09","2022","https://competitioncorner.net/events/7890/details"
"The Aquila Throwdown Finals 2022","CrossFit Sliedrecht","Sportlaan 351","Sliedrecht","Zuid-Holland","Netherlands","3364 DK","Competition Corner","","","The Aquila Throwdown","Onsite Competition for Individuals","","23","09","2022","24","09","2022","https://competitioncorner.net/events/7814/details"
"24 H Contest by Team Muge","CrossFit istres","6 rue des cordonniers","Istres","bouches du rhone","France","13800","Competition Corner","","","","Onsite Competition for Teams","","24","09","2022","25","09","2022","https://competitioncorner.net/events/7129/details"
"2022 Everyday Warrior War Games","CrossFit Wilsonville","25589 SW Canyon Creek Rd STE 100 ","Wilsonville ","OR","United States","97070","Competition Corner","0.0","USD","2019 Team Battle Series ","Onsite Competition for Teams","","24","09","2022","24","09","2022","https://competitioncorner.net/events/7323/details"
"Battle of the North Finals - Solo 2022","De Bonte Wever","Stadsbroek 17","Assen","Drenthe","Netherlands","9405BK","Competition Corner","99.0","EUR","Battle of the North","Onsite Competition for Individuals","","24","09","2022","25","09","2022","https://competitioncorner.net/events/7928/details"
"DBVFF LIGA '22 | EVENT 3 OF 6","","","","","","","Competition Corner","0.0","EUR","Deutscher Bundesverband funktionaler Fitness","Virtual Competition for Individuals","","24","09","2022","30","09","2022","https://competitioncorner.net/events/7932/details"
"The Fitness League 2022/2023","","","","","United Kingdom","","Competition Corner","0.0","GBP","The Kent Classic","Onsite Competition for Teams","","24","09","2022","22","04","2023","https://competitioncorner.net/events/8073/details"
"The CanEast Games 2022 | Main Event","Paramount Fine Foods Centre","5500 Rose Cherry Pl","Mississauga","ON","Canada","L4Z 4B6","Competition Corner","275.0","CAD","CanFit Productions Inc","Onsite Competition for Individuals and teams","","24","09","2022","25","09","2022","https://competitioncorner.net/events/7600/details"
"Magic Bull Contest Indian Summer","CrossFit Magic Bull","11 Rue Louis Braille","Biganos","Gironde","France","33380","Competition Corner","","","","Onsite Competition for Teams","","24","09","2022","24","09","2022","https://competitioncorner.net/events/7886/details"
"CQ Invitational 2022","CrossFit CQ","5/49 Archer Street","Rockhampton City","QLD","Australia","4700","Competition Corner","0.0","AUD","Elite Fitness League","Onsite Competition for Individuals and teams","","24","09","2022","25","09","2022","https://competitioncorner.net/events/8097/details"
"State of CF Origin","Crossfit Origin","3 Woodford Place ","Thornton","NSW","Australia","2322","Competition Corner","0.0","AUD","State of cf Origin","Onsite Competition for Teams","","24","09","2022","24","09","2022","https://competitioncorner.net/events/7929/details"
"Mid Rivers Throwdown","CrossFit St. Charles","4478 S. St. Peters Parkway","St. Charles","MO","United States","63304","Competition Corner","80.0","USD","Mid Rivers Throwdown","Onsite Competition for Individuals and teams","","24","09","2022","24","09","2022","https://competitioncorner.net/events/8032/details"
"Parcours Obstacles Runstacle","Runstacle ","Chemin Nassibou ","Saint Pierre","Réunion","Reunion","97410","Competition Corner","30.0","EUR","","Onsite Competition for Individuals and teams","","24","09","2022","24","09","2022","https://competitioncorner.net/events/8271/details"
"The Gulf Coast Games","CrossFit Clearwater","1281 S Lincoln Ave","Clearwater","FL","United States","33756","Competition Corner","125.0","USD","The Gulf Coast Games","Onsite Competition for Individuals and teams","","24","09","2022","24","09","2022","https://competitioncorner.net/events/7284/details"
