"latitude","longitude","locator_domain","store_no","location_name","street_address","street_no","city","state","zipcode","phone_no","page_url"
"42.400555","-114.524876","https://acburger.com/","142","Twin Falls - Pole Line","251 Pole Line Rd","251","Twin Falls","ID","83301","208-595-1531","https://acburger.com/menu/"
"40.686567","-111.870970","https://acburger.com/","202","Millcreek - 39th South","3919 S 700 E","3919","Salt Lake City","UT","84107","801-262-1496","https://acburger.com/menu/"
"40.620363","-111.891064","https://acburger.com/","205","Midvale - 7200 South","7210 S State St","7210","Midvale","UT","84047","801-566-2311","https://acburger.com/menu/"
"40.681846","-111.988355","https://acburger.com/","231","West Valley - Hunter","4073 W 4100 S","4073","West Valley","UT","84120","801-968-7223","https://acburger.com/menu/"
"33.582089","-111.927253","https://acburger.com/","250","Scottsdale","7127 E Shea Blvd #K8","7127","Scottsdale","AZ","85254","602-739-3113","https://acburger.com/menu/"
"39.977007","-111.777325","https://acburger.com/","510","Santaquin","100 N 400 E","100","Santaquin","UT","84655","801-925-4064","https://acburger.com/menu/"
"41.712582","-112.142145","https://acburger.com/","511","Tremonton","25 N 1600 E","25","Tremonton","UT","84337","435-257-7428","https://acburger.com/menu/"
"42.092163","-111.876762","https://acburger.com/","512","Preston","196 S State St","196","Preston","ID","83263","208-852-1248","https://acburger.com/menu/"
"40.271853","-111.684397","https://acburger.com/","515","Orem","1360 S State St","1360","Orem","UT","84058","801-224-1291","https://acburger.com/menu/"
"37.116847","-113.549225","https://acburger.com/","517","St. George - Red Cliffs","1680 Red Cliffs Dr","1680","St. George","UT","84790","435-652-0500","https://acburger.com/menu/"
"43.372485","-112.130444","https://acburger.com/","521","Shelley","606 S State St","606","Shelley","ID","83274","208-357-7313","https://acburger.com/menu/"
"42.654421","-111.600401","https://acburger.com/","529","Soda Springs","100 E 2nd S","100","Soda Springs","ID","83276","208-547-3635","https://acburger.com/menu/"
"42.543319","-114.364273","https://acburger.com/","530","Kimberly","130 Syringa Ave","130","Kimberly","ID","83441","208-423-5366","https://acburger.com/menu/"
"37.710644","-113.060923","https://acburger.com/","531","Cedar City","1840 N Main St","1840","Cedar City","UT","84720","435-867-5716","https://acburger.com/menu/"
"43.183174","-112.352655","https://acburger.com/","534","Blackfoot - Broadway","814 S Broadway St","814","Blackfoot","ID","83221","208-785-2161","https://acburger.com/menu/"
"43.865504","-116.499813","https://acburger.com/","535","Emmett","1205 S Washington Ave","1205","Emmett","ID","83617","208-365-1172","https://acburger.com/menu/"
"42.322170","-111.297967","https://acburger.com/","536","Montpelier","408 Clay St","408","Montpelier","ID","83254","208-847-1755","https://acburger.com/menu/"
"43.668858","-111.914525","https://acburger.com/","537","Rigby","241 S State St","241","Rigby","ID","83442","208-745-6111","https://acburger.com/menu/"
"42.878733","-112.451299","https://acburger.com/","539","Pocatello - Yellowstone","198 Yellowstone Ave","198","Pocatello","ID","83204","208-232-0523","https://acburger.com/menu/"
"42.914300","-112.466174","https://acburger.com/","540","Chubbuck","4488 Yellowstone Ave","4488","Chubbuck","ID","83202","208-237-2650","https://acburger.com/menu/"
"43.497013","-111.983479","https://acburger.com/","542","Idaho Falls - Hitt","2535 1st St","2535","Idaho Falls","ID","84301","208-522-0175","https://acburger.com/menu/"
"43.578622","-116.563387","https://acburger.com/","543","Nampa","1008 3rd St S","1008","Nampa","ID","83651","208-466-5256","https://acburger.com/menu/"
"42.892108","-112.422281","https://acburger.com/","544","Pocatello - East Center","2167 E Center St","2167","Pocatello","ID","83204","208-478-2664","https://acburger.com/menu/"
"42.696273","-114.518308","https://acburger.com/","545","Jerome","2816 S Lincoln Ave","2816","Jerome","ID","83338","208-644-1575","https://acburger.com/menu/"
"44.069130","-116.923354","https://acburger.com/","546","Payette","500 S 16th St","500","Payette","ID","83661","208-642-1038","https://acburger.com/menu/"
"45.137263","-122.843971","https://acburger.com/","547","Woodburn","315 N Pacific Hwy","315","Woodburn","OR","97071","503-982-2486","https://acburger.com/menu/"
"43.604233","-116.414279","https://acburger.com/","548","Meridian","1625 W Franklin Rd","1625","Meridian","ID","83642","208-898-9200","https://acburger.com/menu/"
"43.647134","-116.664534","https://acburger.com/","550","Caldwell","3108 E Cleveland Blvd","3108","Caldwell","ID","83605","208-459-6282","https://acburger.com/menu/"
"43.690399","-116.473955","https://acburger.com/","553","Star","145 S Plummer Way","145","Star","ID","83669","208-207-1010","https://acburger.com/menu/"
"42.537931","-113.796256","https://acburger.com/","554","Burley","333 W Main St","333","Burley","ID","83318","208-678-6027","https://acburger.com/menu/"
"42.772142","-114.703696","https://acburger.com/","555","Wendell","319 S Idaho St","319","Wendell","ID","83355","208-536-4667","https://acburger.com/menu/"
"42.594391","-114.753010","https://acburger.com/","557","Buhl","606 Broadway Ave S","606","Buhl","ID","83316","208-543-5321","https://acburger.com/menu/"
"40.853552","-115.747866","https://acburger.com/","565","Elko","2500 Alta Vista Dr","2500","Elko","NV","89801","775-777-7878","https://acburger.com/menu/"
"41.784489","-110.539608","https://acburger.com/","567","Diamondville","4 US Hwy 30","4","Diamondville","WY","83116","307-877-3557","https://acburger.com/menu/"
"36.971200","-112.974900","https://acburger.com/","568","Colorado City","1045 S Central St","1045","Colorado City","AZ","86021","928-813-6404","https://acburger.com/menu/"
"46.585030","-120.561478","https://acburger.com/","577","Yakima - Nob Hill","3912 W Nob Hill Blvd","3912","Yakima","WA","98902","509-965-7890","https://acburger.com/menu/"
"44.639193","-124.052950","https://acburger.com/","595","Newport","340 N Coast Hwy","340","Newport","OR","97365","541-265-7822","https://acburger.com/menu/"
