"store_name","address","postalcode","phone","fax","mail","map_url","page_url"
"Calgary Sunridge","2929 Sunridge Way NE #450 ","T1Y 7K7","403-230-8997","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@51.068348,-113.9959313,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xb876d24912b60577!8m2!3d51.068348!4d-113.9937426?hl=en","https://jiffylubeservice.ca/locations/calgary/jiffy-calgary-sunridge/"
"Calgary Symons Valley","12600 Symons Valley Road NW ","T3P 0A3","403-274-3422","403-274-8903","info@jiffylubeservice.ca","https://www.google.com/maps?cid=1697186598817985988&hl=en&_ga=2.13584560.640097405.1505244314-941992818.1505244314","https://jiffylubeservice.ca/locations/calgary/jiffy-calgary-symons-valley/"
"Camrose","6800 48 Avenue #140 ","T4V 4T1","780-672-1274","780-672-4063","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.0193988,-112.8641417,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xf0d3a186bb3b953b!8m2!3d53.0193988!4d-112.861953?hl=en","https://jiffylubeservice.ca/locations/camrose/jiffy-camrose/"
"Chestermere","100, 196 Chestermere Station Way ","T1X 0A9","403-235-3545","403-235-3542","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@51.0478041,-113.8300119,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x7f7f794fb44d44c!8m2!3d51.0478041!4d-113.8278232?hl=en","https://jiffylubeservice.ca/locations/chestermere/jiffy-chestermere/"
"Cold Lake 50th Street","4515 50 Street ","T9M 1Y6","780-594-4558","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@54.408472,-110.2066537,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x1233595d8da62469!8m2!3d54.408472!4d-110.204465?hl=en","https://jiffylubeservice.ca/locations/cold-lake/jiffy-cold-lake-50th-street/"
"Cold Lake 8th Avenue","2100 8 Avenue ","T9M 1C2","780-639-9539","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@54.4625125,-110.1949512,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x5fc62f9f95987d61!8m2!3d54.4625125!4d-110.1927625?hl=en","https://jiffylubeservice.ca/locations/cold-lake/jiffy-cold-lake-8th-avenue/"
"Devon","102, 180 Miquelon Ave ","T9G 0A6","780-987-0951","780-987-3526","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.3526763,-113.73184,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x6141b20a1b75daa5!8m2!3d53.3526763!4d-113.7296513?hl=en","https://jiffylubeservice.ca/locations/devon/jiffy-devon/"
"Drumheller","705 AB-0 South Drive ","T0J 0Y0","403-823-9667","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@51.469589,-112.9772406,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x44d306955cfdb54f!8m2!3d51.469589!4d-112.9750519?hl=en","https://jiffylubeservice.ca/locations/drumheller/jiffy-drumheller/"
"West Edmonton Granville","2524 Guardian Road NW ","T5T 1K8","780-444-3965","780-444-5710","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.509864,-113.6768719,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x859fb1b0ce94363f!8m2!3d53.509864!4d-113.6746832?hl=en","https://jiffylubeservice.ca/locations/edmonton/jiffy-west-edmonton-the-grange/"
"Edmonton Windermere Boulevard","5076 Windermere Boulevard NW ","T6W 0L7","","","info@jiffylubeservice.ca","https://maps.google.com?&daddr=53.4395059,-113.6207178","https://jiffylubeservice.ca/locations/edmonton/jiffy-edmonton-windermere-boulevard/"
"Edmonton Whyte Ave","9927 82 Avenue NW ","T6E 1Z1","780-433-3278","780-433-3256","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.5176726,-113.4895551,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xd97cbc1b335037bf!8m2!3d53.5176726!4d-113.4873664?hl=en","https://jiffylubeservice.ca/locations/edmonton/jiffy-edmonton-whyte-ave/"
"Edmonton South Common","2121 101 Street NW ","T6N 0A2","780-469-5776","780-469-7436","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.4522125,-113.4899856,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x31e83d08b7d9e91!8m2!3d53.4522125!4d-113.4877969?hl=en","https://jiffylubeservice.ca/locations/edmonton/jiffy-edmonton-south-common/"
"Edmonton Terra Losa","17771 98a Avenue NW ","T5T 5W8","780-483-2281","780-484-2995","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.534235,-113.6304338,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x635b81d495dce4f0!8m2!3d53.534235!4d-113.6282451?hl=en","https://jiffylubeservice.ca/locations/edmonton/jiffy-edmonton-terra-losa/"
"Edmonton Tamarack Way","841 Tamarack Way NW ","T6T 0N3","825-512-1490","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.4793717,-113.3691314,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x5b861bda5a9a7b74!8m2!3d53.4793717!4d-113.3669427?authuser=1","https://jiffylubeservice.ca/locations/edmonton/jiffy-edmonton-tamarack-way/"
"Edmonton South Ellerslie","985 James Mowatt Trail SW ","T6W 1S4","780-758-5823","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.4235583,-113.5172481,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x8d1fcb3395c6e6c4!8m2!3d53.4235583!4d-113.5150594?hl=en","https://jiffylubeservice.ca/locations/edmonton/jiffy-edmonton-south-ellerslie/"
"Edmonton Terwillegar","14002 23 Avenue NW ","T6R 3L6","780-989-1703","780-989-1704","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.4548228,-113.5644632,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x487d55ee26c71cad!8m2!3d53.4548228!4d-113.5622745?hl=en","https://jiffylubeservice.ca/locations/edmonton/jiffy-edmonton-terwillegar/"
"Edmonton Northgate","13731 97 Street NW ","T5E 4H6","780-478-7553","780-478-3044","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.6010933,-113.4932202,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xb4282d88a90cd937!8m2!3d53.6010933!4d-113.4910315?hl=en","https://jiffylubeservice.ca/locations/edmonton/jiffy-edmonton-northgate/"
"Edmonton Beverly","4801 118 Avenue NW ","T5W 1B5","780-479-2310","780-474-7501","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.5700923,-113.4177527,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xb8655439e3ea0d34!8m2!3d53.5700923!4d-113.415564?hl=en","https://jiffylubeservice.ca/locations/edmonton/jiffy-edmonton-beverly/"
"Downtown Edmonton","11503 104 Avenue NW ","T5K 2S2","780-425-7562","780-425-7689","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.5458783,-113.5219328,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xcaa1c909f676fc42!8m2!3d53.5458783!4d-113.5197441?hl=en","https://jiffylubeservice.ca/locations/edmonton/jiffy-downtown-edmonton/"
"Edmonton 153 Avenue","3618 – 153 Avenue ","T5Y 2Z4","587-460-5074","","info@jiffylubeservice.ca","https://maps.google.com?&daddr=53.6166056,-113.364915","https://jiffylubeservice.ca/locations/edmonton/edmonton-153-avenue/"
"Edmonton North West High Park","14849-112 Avenue ","T5M 4G1","780-487-8034","780-487-7990","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.5602182,-113.5796049,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x180399927514be7d!8m2!3d53.5602182!4d-113.5774162?hl=en","https://jiffylubeservice.ca/locations/edmonton/jiffy-edmonton-north-west-high-park/"
"Edmonton Eaux Claires","9608 165 Avenue NW ","T5Z 3L3","780-475-1234","780-475-1085","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.6268919,-113.4917905,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x5be0d745bd588961!8m2!3d53.6268919!4d-113.4896018?hl=en","https://jiffylubeservice.ca/locations/edmonton/jiffy-edmonton-eaux-claires/"
"Edmonton Killarney","13004 82 Street NW ","T5E 2T5","780-478-9617","780-478-9629","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.5893018,-113.4701229,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x150c160d4f1c2dc5!8m2!3d53.5893018!4d-113.4679342?hl=en","https://jiffylubeservice.ca/locations/edmonton/jiffy-edmonton-killarney/"
"Edmonton North East Clareview","13210 50 Street NW ","T5A 4Z8","780-456-0264","780-414-0288","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.5936358,-113.417996,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xb11d0e0e90e67759!8m2!3d53.5936358!4d-113.4158073?hl=en","https://jiffylubeservice.ca/locations/edmonton/jiffy-edmonton-north-east-clareview/"
"Edmonton North East Hollick-Kenyon","16630 50 Street NW ","T5Y 0L2","780-457-6181","780-457-6820","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.6279993,-113.4140044,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x86dcb54a01de54da!8m2!3d53.6279993!4d-113.4118157?hl=en","https://jiffylubeservice.ca/locations/edmonton/jiffy-edmonton-north-east-hollick-kenyon/"
"Edson","5220 4 Avenue ","T7E 1L4","780-712-5333","780-712-5358","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.5814838,-116.4403602,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xe1935be3533f9a10!8m2!3d53.5814838!4d-116.4381715?hl=en","https://jiffylubeservice.ca/locations/edson/jiffy-edson/"
"Fort McMurray Powder","297 Powder Drive ","T9K 0M3","780-743-3892","780-743-3937","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@56.7570395,-111.4581791,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xa5d91b63d646442a!8m2!3d56.7570395!4d-111.4559904?hl=en","https://jiffylubeservice.ca/locations/fort-mcmurray/jiffy-fort-mcmurray-powder/"
"Fort McMurray Franklin","9620 Franklin Avenue ","T9H 2J9","780-790-0902","780-790-0920","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@56.724924,-111.3740834,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xfa4f24c9748787a4!8m2!3d56.724924!4d-111.3718947?hl=en","https://jiffylubeservice.ca/locations/fort-mcmurray/jiffy-fort-mcmurray-franklin/"
"Fort Saskatchewan","10080A 88 Avenue ","T8L 0J4","780-998-4700","780-998-4764","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.700355,-113.2076116,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x3b4e4580199f4b!8m2!3d53.700355!4d-113.2054229?hl=en","https://jiffylubeservice.ca/locations/fort-saskatchewan/jiffy-fort-saskatchewan/"
"Grande Prairie","10945 101 Avenue ","T8V 7M3","780-532-5073","780-532-5081","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@55.171355,-118.8139436,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x2de18ecaea3b4700!8m2!3d55.171355!4d-118.8117549?hl=en","https://jiffylubeservice.ca/locations/grande-prairie/jiffy-grande-prairie/"
"Leduc Discovery","5405 Discovery Way ","T9E 8N4","780-980-8393","780-980-9261","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.2686705,-113.5675176,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x4e80f68797108c30!8m2!3d53.2686705!4d-113.5653289?hl=en","https://jiffylubeservice.ca/locations/leduc/jiffy-leduc-discovery/"
"Leduc Sparrow","6607 Sparrow Drive ","T9E 7L1","780-980-0039","780-980-0442","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.2859375,-113.5481905,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x24417212eb244be6!8m2!3d53.2859375!4d-113.5460018?hl=en","https://jiffylubeservice.ca/locations/leduc/jiffy-leduc-sparrow/"
"Lethbridge","2915 26 Avenue North ","T1H 5P4","403-328-9884","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@49.7272915,-112.8008942,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xb9fe6bb708835d11!8m2!3d49.7272915!4d-112.7987055?hl=en","https://jiffylubeservice.ca/locations/lethbridge/jiffy-lethbridge/"
"Lloydminster","5627B 44 Street ","T9V 0B2","780-875-3730","780-875-4267","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.277449,-110.0256577,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xd0273fbbc5371514!8m2!3d53.277449!4d-110.023469?hl=en","https://jiffylubeservice.ca/locations/lloydminster/jiffy-lloydminster/"
"Medicine Hat","Bay K, 3215 Dunmore Road SE ","T1B 2H2","403-528-4356","403-528-4367","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@50.0079289,-110.6486993,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xf4db08e809ef5d0f!8m2!3d50.0079289!4d-110.6465106?hl=en","https://jiffylubeservice.ca/locations/medicine-hat/jiffy-medicine-hat/"
"Morinville","8805 100 Street ","T8R 1V5","780-939-1034","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.785221,-113.6477084,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x3cb6d878d0dd376d!8m2!3d53.785221!4d-113.6455197?hl=en","https://jiffylubeservice.ca/locations/morinville/jiffy-morinville/"
"Okotoks","34 Southridge Drive #20 ","T1S 2G5","403-938-4707","403-938-7201","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@50.714174,-113.9798537,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x8403b6c1480dbf61!8m2!3d50.714174!4d-113.977665?hl=en","https://jiffylubeservice.ca/locations/okotoks/jiffy-okotoks/"
"Olds","650, 6700-46 Street ","T4H 0A2","403-507-4121","780-507-8514","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@51.7954904,-114.1366299,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xf6a579a83f7ec74d!8m2!3d51.7954904!4d-114.1344412?hl=en","https://jiffylubeservice.ca/locations/olds/jiffy-olds/"
"Red Deer North Hill","5020 71 Street ","T4P 3Z7","403-358-4155","403-358-4154","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@52.2957023,-113.8177294,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x3da90b57ba06fdc8!8m2!3d52.2957023!4d-113.8155407?hl=en","https://jiffylubeservice.ca/locations/red-deer/jiffy-red-deer-north-hill/"
"Red Deer Southpointe","5111 22 Street ","T4R 2K1","403-348-2303","403-348-2304","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@52.237897,-113.814961,17z/data=!4m12!1m6!3m5!1s0x0:0xc6e356772d846b2b!2sJiffy+Lube!8m2!3d52.237897!4d-113.814961!3m4!1s0x0:0xc6e356772d846b2b!8m2!3d52.237897!4d-113.814961?hl=en","https://jiffylubeservice.ca/locations/red-deer/jiffy-red-deer-southpointe/"
"Red Deer Edgar Industrial Park","6702 Golden West Avenue #600 ","T4P 1A8","403-341-0165","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@52.2909164,-113.8516014,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xe8cce2ca86fe5f5c!8m2!3d52.2909164!4d-113.8494127?hl=en","https://jiffylubeservice.ca/locations/red-deer/jiffy-red-deer-edgar-industrial-park/"
"Rocky Mountain House","14, 5207-48th Street ","T4T 0B1","403-845-2867","403-845-4634","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@52.3785398,-114.9175101,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xe22bbb3e93992a1f!8m2!3d52.3785398!4d-114.9153214?hl=en","https://jiffylubeservice.ca/locations/rocky-mountain-house/jiffy-rocky-mountain-house/"
"Sherwood Park","99 Wye Road #41 ","T8B 1M1","780-449-1566","780-449-5371","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.511476,-113.3340798,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xcb5469f8065d0460!8m2!3d53.511476!4d-113.3318911?hl=en","https://jiffylubeservice.ca/locations/sherwood-park/jiffy-sherwood-park/"
"Slave Lake","1511 Main Street SW ","T0G 2A0","780-849-9669","780-849-6105","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@55.27124,-114.7816567,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x80fe19febf7ca1ee!8m2!3d55.27124!4d-114.779468?hl=en","https://jiffylubeservice.ca/locations/slave-lake/jiffy-slave-lake/"
"Spruce Grove","16 Westway Road #130 ","T7X 3X3","780-960-5467","780-960-5468","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.541918,-113.9268887,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x7a2674d516145042!8m2!3d53.541918!4d-113.9247?hl=en","https://jiffylubeservice.ca/locations/spruce-grove/jiffy-spruce-grove/"
"St. Albert","314 St. Albert Trail ","T8N 0P9","780-459-4294","780-459-4294","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.633602,-113.6255147,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xd2d4abddb2f25c63!8m2!3d53.633602!4d-113.623326?hl=en","https://jiffylubeservice.ca/locations/st-albert/jiffy-st-albert/"
"Stettler","4902B 44 Avenue ","T0C 2L2","403-742-8985","","info@jiffylubeservice.ca","https://www.google.com/maps?cid=17133477606498340510&hl=en&_ga=2.119081230.640097405.1505244314-941992818.1505244314","https://jiffylubeservice.ca/locations/stettler/jiffy-stettler/"
"Stony Plain","4203 South Park Drive ","T7Z 1L1","780-963-1557","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.540189,-113.9801785,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xe94b479f0fc062a1!8m2!3d53.540189!4d-113.9779898?hl=en","https://jiffylubeservice.ca/locations/stony-plain/jiffy-stony-plain/"
"Sundre","506 7 Street SW ","T0M 1X0","403-638-3119","403-638-3117","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@51.791688,-114.6583367,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x5ebad71745b4c8d6!8m2!3d51.791688!4d-114.656148?hl=en","https://jiffylubeservice.ca/locations/sundre/jiffy-sundre/"
"Taber","5332 46 Avenue ","T1G 2A8","403-223-0166","403-223-6499","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@49.7827968,-112.1443872,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x85eb22b9ab9fd0a6!8m2!3d49.7827968!4d-112.1421985?hl=en","https://jiffylubeservice.ca/locations/taber/jiffy-taber/"
"Vegreville","4733 50 Avenue ","T9C 1L1","780-632-6144","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.4912188,-112.0470744,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xcd2b1a1ae0843dea!8m2!3d53.4912188!4d-112.0448857?hl=en","https://jiffylubeservice.ca/locations/vegreville/jiffy-vegreville/"
"Wainwright","2902 13th Avenue ","T9W 0A2","780-703-5823","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@52.8425992,-110.8290182,17z/data=!4m5!3m4!1s0x0:0xab7fdd047baa4dfb!8m2!3d52.8430132!4d-110.8284125?hl=en","https://jiffylubeservice.ca/locations/wainwright/jiffy-wainwright/"
"Wetaskiwin","4702 56 Street ","T9A 3M5","780-368-3050","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@52.967343,-113.3936327,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x87a521efd2dc46fc!8m2!3d52.967343!4d-113.391444?hl=en","https://jiffylubeservice.ca/locations/wetaskiwin/jiffy-wetaskiwin/"
"Aldergrove","103, 26930 Fraser Highway ","V4W 3L6","604-607-7766","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@49.0579118,-122.4803678,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x9e2e66a1a6a50418!8m2!3d49.0579118!4d-122.4781791?hl=en","https://jiffylubeservice.ca/locations/aldergrove/jiffy-aldergrove/"
"Chilliwack Eagle Landing","8236 Eagle Landing Parkway #400 ","V2R 0R5","604-792-9110","","info@jiffylubeservice.ca","https://www.google.com/maps?cid=14277113723454407290&hl=en&_ga=2.50356270.640097405.1505244314-941992818.1505244314","https://jiffylubeservice.ca/locations/chilliwack/jiffy-chilliwack-eagle-landing/"
"Chilliwack Vedder","7854 Vedder Road ","V2R 4G9","604-705-3455","","info@jiffylubeservice.ca","https://www.google.com/maps?cid=14850866947856951558&hl=en&_ga=2.208243479.46858669.1505329257-1505543483.1505329257","https://jiffylubeservice.ca/locations/chilliwack/jiffy-chilliwack-vedder/"
"Courtenay","581 Ryan Road ","V9N 3R5","250-334-9969","250-703-2090","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@49.6970043,-124.9913891,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x736e765fb560b68d!8m2!3d49.6970043!4d-124.9892004?hl=en","https://jiffylubeservice.ca/locations/courtenay/jiffy-courtenay/"
"Cranbrook","1814 Ridgeview Road ","V1C 0C8","250-426-8578","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@49.5299462,-115.7509936,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x6a4a2efe7283708a!8m2!3d49.5299462!4d-115.7488049?hl=en","https://jiffylubeservice.ca/locations/cranbrook/jiffy-cranbrook/"
"Dawson Creek","1030 Alaska Avenue ","V1G 1Y6","250-784-1811","250-784-1827","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@55.7600225,-120.2312302,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xb45c428ebce65415!8m2!3d55.7600225!4d-120.2290415?hl=en","https://jiffylubeservice.ca/locations/dawson-creek/jiffy-dawson-creek/"
"Duncan","60 Trunk Road ","V9L 5B7","250-737-1989","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@48.7767378,-123.7070044,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xa5ab8d11627c3d16!8m2!3d48.7767378!4d-123.7048157?hl=en","https://jiffylubeservice.ca/locations/duncan/jiffy-duncan/"
