"name","city","state","zipcode","address","phone_no","website","page_url"
"Bryants Heating & Cooling Inc","FORT PAYNE","Alabama","35967-1610","300 8TH ST SE
FORT PAYNE, Alabama 35967-1610","256-845-1742","","https://www.lennox.com/locate/dealer/al/fort-payne/bryants-htg-and-cooling-inc"
"Farnell Htg & A/C Inc","MOBILE","Alabama","36606-1573","516 HOLCOMBE AVE
MOBILE, Alabama 36606-1573","251-471-2674","http://www.farnellac.com","https://www.lennox.com/locate/dealer/al/mobile/farnell-htg-and-ac-inc"
"Farnell Mechanical Inc","Opelika","Alabama","36801","2105 Airport Rd #3
Opelika, Alabama 36801","334-524-2458","https://www.farnellac.net","https://www.lennox.com/locate/dealer/al/opelika/farnell-mech-inc"
"Fobbus Sheet Metal Co Inc","Gadsden","Alabama","35901","503 Tidmore Bend Rd
Gadsden, Alabama 35901","256-546-5608","http://www.fobbusheatingandcooling.com/","https://www.lennox.com/locate/dealer/al/gadsden/fobbus-sheet-metal-co-inc"
"Integrity Appliance Svc Inc","MADISON","Alabama","35758-1819","102 COMMERCE CIR STE A
MADISON, Alabama 35758-1819","256-319-9402","","https://www.lennox.com/locate/dealer/al/madison/integrity-appliance-svc-inc"
"Moores Svc Co","BUTLER","Alabama","36904-2441","901 W PUSHMATAHA ST
BUTLER, Alabama 36904-2441","205-459-4328","","https://www.lennox.com/locate/dealer/al/butler/moores-svc-co-inc"
"Norrell Service Experts","Irondale","Alabama","35210-1547","2524 Commerce Square W
Irondale, Alabama 35210-1547","(205) 267-0023","https://www.norrellserviceexperts.com/","https://www.lennox.com/locate/dealer/al/irondale/service-experts-003"
"Climate Control Service Experts","MOBILE","Alabama","36695-2826","7291 COTTAGE HILL RD
MOBILE, Alabama 36695-2826","(251) 202-7503","https://www.callclimatecontrol.com","https://www.lennox.com/locate/dealer/al/mobile/service-experts-087"
"Shoals MPE Llc","Florence","Alabama","35630-8933","3311 Co Rd 47
Florence, Alabama 35630-8933","256-766-9439","","https://www.lennox.com/locate/dealer/al/florence/shoals-mpe-svcs-llc"
"Woodall Heating & Cooling","ENTERPRISE","Alabama","36330-2005","713 GLOVER AVE
ENTERPRISE, Alabama 36330-2005","334-347-1243","http://www.woodallhc.com/","https://www.lennox.com/locate/dealer/al/enterprise/woodall-htg-and-clg"
"Heatsource Mechanical","Wasilla","Alaska","99654","2551 E Palmer-Wasilla Hwy
Wasilla, Alaska 99654","(907) 376-4130","","https://www.lennox.com/locate/dealer/ak/wasilla/heatsource-mechanical-inc"
"Klebs Mechanical","WASILLA","Alaska","99654","4740 Greenstreet Cir
WASILLA, Alaska 99654","(907) 745-2559","","https://www.lennox.com/locate/dealer/ak/anchorage/klebs-mechanical-inc"
"Maile Htg & Cooling LLC","Soldotna","Alaska","99669-8289","35348 K B Dr A1
Soldotna, Alaska 99669-8289","907-513-8895","","https://www.lennox.com/locate/dealer/ak/soldotna/maile-htg-and-cooling-llc"
"Moore Htg Air Cond & Refrig","ANCHORAGE","Alaska","99507-1910","1801 E DOWLING RD
ANCHORAGE, Alaska 99507-1910","907-561-1500","","https://www.lennox.com/locate/dealer/ak/anchorage/moore-htg-ac-and-refrig"
"Valley Mountain Services Llc","Wasilla","Alaska","99654-7377","2521 Mountain Village Dr STE B
Wasilla, Alaska 99654-7377","907-631-5216","","https://www.lennox.com/locate/dealer/ak/wasilla/valley-mountain-svcs-llc"
"A&M Htg & Clg LLC","Tucson","Arizona","85713-2722","2980 S Cottonwood Ln
Tucson, Arizona 85713-2722","520-399-5423","","https://www.lennox.com/locate/dealer/az/tucson/aandm-htg-and-clg-llc"
"Advantage Home Performance Inc","Prescott","Arizona","86305","1021 Commerce Dr A
Prescott, Arizona 86305","928-445-3828","https://advantagehomeperformance.com/","https://www.lennox.com/locate/dealer/az/glendale/advantage-home-performance-inc"
"Alaskan AC & Htg Inc","Tempe","Arizona","85282","2428 W Campus Dr
Tempe, Arizona 85282","480-446-7788","https://www.alaskanac.com","https://www.lennox.com/locate/dealer/az/tempe/alaskan-ac-and-htg-inc"
"Alaskan AC & Htg Inc","Tucson","Arizona","85705","2305 N 7th Ave
Tucson, Arizona 85705","520-798-2300","https://www.alaskanac.com","https://www.lennox.com/locate/dealer/az/tempe/alaskan-home-svcs-inc"
"Collins Comfort Masters","Tempe","Arizona","85283","102 W Julie Dr
Tempe, Arizona 85283","480-655-7575","","https://www.lennox.com/locate/dealer/az/tempe/all-about-family-home-svcs-llc"
"Ambient Air","TUCSON","Arizona","85705-2295","1983 W MCMILLAN ST
TUCSON, Arizona 85705-2295","520-744-9192","","https://www.lennox.com/locate/dealer/az/tucson/ambient-air"
"B and D Air Conditioning","SAFFORD","Arizona","85546-2831","723 S 8TH AVE
SAFFORD, Arizona 85546-2831","928-428-2550","","https://www.lennox.com/locate/dealer/az/safford/b-and-d-ac"
"Champion Air","Scottsdale","Arizona","85258","8989 E Vía Linda
Scottsdale, Arizona 85258","623-551-0600","https://championairaz.com/","https://www.lennox.com/locate/dealer/az/scottsdale/champion-svc-air-llc"
"Chas Robert A/C Inc -Phoenix","PHOENIX","Arizona","85021-1906","9828 N 19TH AVE
PHOENIX, Arizona 85021-1906","602-943-7291","","https://www.lennox.com/locate/dealer/az/phoenix/chas-roberts-ac-inc"
"Connolly Electric & Mechanical","Cottonwood","Arizona","86326","2651 S Union Dr
Cottonwood, Arizona 86326","(928) 639-4251","","https://www.lennox.com/locate/dealer/az/cottonwood/connolly-electric-and-mechanical"
"Cooler Tymes LLC","Litchfield Park","Arizona","85340","18518 W San Miguel Ave
Litchfield Park, Arizona 85340","623-206-6770","","https://www.lennox.com/locate/dealer/az/litchfield-park/cooler-tymes-llc"
"Dial One Mears Air Cond & Htg Inc","PHOENIX","Arizona","85020-2917","743 E DUNLAP AVE
PHOENIX, Arizona 85020-2917","602-997-5701","http://www.mearsac.com","https://www.lennox.com/locate/dealer/az/phoenix/dial-one-mears-ac-and-htg-inc"
"Fairway Clg & Htg","Oro Valley","Arizona","85755","1171 E Rancho Vistoso Blvd
Oro Valley, Arizona 85755","5203288424","https://fairwaycooling.com/","https://www.lennox.com/locate/dealer/az/oro-valley/fairway-clg-and-htg-llc"
"Goettls High Desert Mechanical","Camp Verde","Arizona","86322-8217","4650 Old State Hwy 279
Camp Verde, Arizona 86322-8217","928-567-2200","","https://www.lennox.com/locate/dealer/az/camp-verde/goettls-high-desert-mechanical"
"Grand Canyon Home Svcs","SURPRISE","Arizona","85379-4621","15824 W BECKER LN
SURPRISE, Arizona 85379-4621","623-444-6988","","https://www.lennox.com/locate/dealer/az/surprise/grand-canyon-home-svcs"
"Hansberger Refrig & Elec Co","YUMA","Arizona","85365-2026","660 E 18TH PL STE A
YUMA, Arizona 85365-2026","928-783-3331","http://www.hansbergerrefrig.com/index.html","https://www.lennox.com/locate/dealer/az/yuma/hansberger-refrig-and-elec-co"
"Hobaica Services LLC","Phoenix","Arizona","85020","10636 N Cave Creek Rd
Phoenix, Arizona 85020","602-995-0387","http://www.hobaica.com/","https://www.lennox.com/locate/dealer/az/phoenix/hobaica-svcs-llc"
"Integrity A/C & Heating LLC","PHOENIX","Arizona","85024-4447","2250 E ROSE GARDEN LOOP
PHOENIX, Arizona 85024-4447","602-971-0567","http://www.integrity-hvac.com","https://www.lennox.com/locate/dealer/az/phoenix/integrity-ac-and-htg-llc"
"Magic Touch Mechanical","Mesa","Arizona","85210","942 W 1st Ave
Mesa, Arizona 85210","480-855-8789","http://www.AirConditioningArizona.com","https://www.lennox.com/locate/dealer/az/mesa/magic-touch-mechanical"
"Mark Of Excellence Htg & AC","Maricopa","Arizona","85139-6640","45680 W Tucker Rd
Maricopa, Arizona 85139-6640","602-512-5672","","https://www.lennox.com/locate/dealer/az/maricopa/mark-of-excellence-htg-and-ac"
"Mason Mechanical","MESA","Arizona","85204-6687","962 E ISABELLA AVE
MESA, Arizona 85204-6687","480-835-9928","","https://www.lennox.com/locate/dealer/az/mesa/mason-refrig-inc"
"North Mechanical LLC","Payson","Arizona","85541-5451","906 S Mc Lane Rd
Payson, Arizona 85541-5451","928-468-9400","http://www.upnorthair.com/","https://www.lennox.com/locate/dealer/az/payson/north-mechanical-llc"
"Parker & Sons","PHOENIX","Arizona","85040-1808","3636 E ANNE ST STE A
PHOENIX, Arizona 85040-1808","480-963-1829","","https://www.lennox.com/locate/dealer/az/phoenix/parker-and-sons"
"Reeis AC LLC","Phoenix","Arizona","85040-2841","3525 E Corona Ave
Phoenix, Arizona 85040-2841","480-993-9400","","https://www.lennox.com/locate/dealer/az/phoenix/reeis-ac-llc"
"Rim Country Mechanical Inc","SHOW LOW","Arizona","85901-5131","261 N 8TH ST
SHOW LOW, Arizona 85901-5131","928-537-1803","http://www.rimcountrymechanical.com/","https://www.lennox.com/locate/dealer/az/show-low/rim-country-mech-inc"
"Rite Way Ventilating Co","Tucson","Arizona","85714","4551 S Alvernon Way
Tucson, Arizona 85714","(520) 940-6600","http://www.RiteWayAC.com","https://www.lennox.com/locate/dealer/az/tucson/rite-way-ventilating-co"
"Russett Southwest Corp","TUCSON","Arizona","85719-6608","705 E 17TH ST
TUCSON, Arizona 85719-6608","520-629-9676","","https://www.lennox.com/locate/dealer/az/tucson/russett-southwest-corp"
"Samons Air Conditioning Inc","Lake Havasu City","Arizona","86403-2990","2100 W Acoma Blvd
Lake Havasu City, Arizona 86403-2990","928-855-3302","","https://www.lennox.com/locate/dealer/az/lake-havasu-city/samons-ac-inc"
"Scottsdale Air Heating & Cooling","TEMPE","Arizona","85281-1838","1121 N SICKLES DR
TEMPE, Arizona 85281-1838","(480) 945-7200","http://www.scottsdaleair.com/","https://www.lennox.com/locate/dealer/az/phoenix/scottsdale-air-htg-and-cooling"
"Bob Brown Service Experts","Sun City","Arizona","85351-3105","10020 W Santa Fe Dr
Sun City, Arizona 85351-3105","623-979-8422","https://www.bobbrownserviceexperts.com/","https://www.lennox.com/locate/dealer/az/sun-city/service-experts-119"
"Sun City Mechanical Llc","SUN CITY","Arizona","85351-1153","10240 W BELL RD
SUN CITY, Arizona 85351-1153","623-321-2366","https://suncitymechanical.com/","https://www.lennox.com/locate/dealer/az/sun-city/sun-city-mech-llc"
"Temperature Control Inc","TUCSON","Arizona","85705-6551","215 W LESTER ST
TUCSON, Arizona 85705-6551","520-544-5665","","https://www.lennox.com/locate/dealer/az/tucson/temperature-control-inc"
"Air Care Systems","GREENWOOD","Arkansas","72936-6338","718 ROCKSIDE DR
GREENWOOD, Arkansas 72936-6338","479-996-9288","","https://www.lennox.com/locate/dealer/ar/greenwood/air-care-systems"
"Air Control Corporation","Springdale","Arkansas","72764-7192","2114 Dime Dr
Springdale, Arkansas 72764-7192","479-756-0199","","https://www.lennox.com/locate/dealer/ar/springdale/buffalo-hvac-partners"
"Dash Heating & Cooling","Hot Springs","Arkansas","71913","2100 Albert Pike Rd
Hot Springs, Arkansas 71913","5012243274","http://www.dashservice.com","https://www.lennox.com/locate/dealer/ar/hot-springs/dash-htg-and-clg"
"Dison Service Company Inc","EL DORADO","Arkansas","71730-6614","239 INDUSTRIAL RD
EL DORADO, Arkansas 71730-6614","870-862-0409","","https://www.lennox.com/locate/dealer/ar/el-dorado/dison-svc-co-inc"
"Jim Brown Construction Co Inc","Mountain Home","Arkansas","72653","1541 AR-201
Mountain Home, Arkansas 72653","870-425-5775","","https://www.lennox.com/locate/dealer/ar/mountain-home/jim-brown-construction-co-inc"
"Kimbel Service","SPRINGDALE","Arkansas","72762-9769","9310 E WAGON WHEEL RD
SPRINGDALE, Arkansas 72762-9769","479-231-1040","","https://www.lennox.com/locate/dealer/ar/springdale/kimbel-purchasing-co-llc"
"Lovelis Refrigeration","NASHVILLE","Arkansas","71852-3807","619 MINE ST
NASHVILLE, Arkansas 71852-3807","870-845-5520","","https://www.lennox.com/locate/dealer/ar/nashville/lovelis-refrig"
"Middleton Inc - Residential Acct","Bryant","Arkansas","72022-8581","22039 I-30
Bryant, Arkansas 72022-8581","501-847-0371","http://www.middletoninc.com","https://www.lennox.com/locate/dealer/ar/bryant/middleton-inc"
"Ozark Air Conditioning & Refrigeration","Harrison","Arkansas","72601","336 Industrial Park Rd
Harrison, Arkansas 72601","870-741-7900","","https://www.lennox.com/locate/dealer/ar/harrison/ozark-ac-and-refrig"
"Siloam Springs Htg & A/C","SILOAM SPRINGS","Arkansas","72761-2922","355 S LINCOLN ST
SILOAM SPRINGS, Arkansas 72761-2922","479-524-2047","","https://www.lennox.com/locate/dealer/ar/siloam-springs/siloam-springs-htg-and-ac"
"1 800 Anytyme Plumbing Inc","Vista","California","92081-7874","1064 La Mirada Ct
Vista, California 92081-7874","800-656-3569","https://www.1800anytyme.com.","https://www.lennox.com/locate/dealer/ca/vista/1-800-anytyme-plbg-inc"
"1st Choice Heating & Air Conditioning","Lake Forest","California","92630","20371 Lake Forest Dr #5
Lake Forest, California 92630","(949) 305-5754","https://www.1stchoiceairconditioning.com","https://www.lennox.com/locate/dealer/ca/lake-forest/1st-choice-htg-and-ac-inc"
"A & A A/C Htg","GRASS VALLEY","California","95945-4301","763 S AUBURN ST
GRASS VALLEY, California 95945-4301","530-273-1301","","https://www.lennox.com/locate/dealer/ca/grass-valley/a-and-a-ac-htg"
"A Plus General Contractors Inc","GARDEN GROVE","California","92841-1400","11330 KNOTT ST
GARDEN GROVE, California 92841-1400","714-901-0500","","https://www.lennox.com/locate/dealer/ca/garden-grove/a-plus-general-contractors-inc"
"A Plus General Contractors Inc. dba A Plus Heating & Air","Milpitas","California","95035","362 S Abbott AVE
Milpitas, California 95035","408-934-0730","http://www.aplusheatingandair.com","https://www.lennox.com/locate/dealer/ca/milpitas/a-plus-htg-and-ac"
"AZ Air Cond & Heating","VAN NUYS","California","91405-1250","7640 TOBIAS AVE
VAN NUYS, California 91405-1250","818-782-7777","http://www.azaircond.com","https://www.lennox.com/locate/dealer/ca/van-nuys/a-z-ac-and-htg-inc"
"A-1 Heating and Cooling","SAN JOSE","California","95110-1928","476 W TAYLOR ST
SAN JOSE, California 95110-1928","408-283-9915","","https://www.lennox.com/locate/dealer/ca/san-jose/a1-htg-and-clg"
"Aard Mechanical","Brea","California","92821","855 W. Lambert Road
Brea, California 92821","562-332-4385","","https://www.lennox.com/locate/dealer/ca/pomona/aard-mechanical"
"Access Heating & Air Cond Inc","Pasadena","California","91107","3712 Blanche St
Pasadena, California 91107","626-405-1074","http://www.accessairnow.com","https://www.lennox.com/locate/dealer/ca/pasadena/access-htg-and-ac-inc"
"Ace Air Inc","MERCED","California","95341-8005","137 HERON WAY
MERCED, California 95341-8005","209-722-2200","","https://www.lennox.com/locate/dealer/ca/merced/ace-air-inc"
"Action Air Cond & Htg","SAN MARCOS","California","92069-5928","2750 S SANTA FE AVE
SAN MARCOS, California 92069-5928","760-727-4152","http://www.actionac.net","https://www.lennox.com/locate/dealer/ca/san-marcos/action-ac-and-htg"
"Affordable Air Inc","Lancaster","California","93534","215 W Ave L 9
Lancaster, California 93534","661-948-1555","https://www.AffordableAirAndHeating.com","https://www.lennox.com/locate/dealer/ca/lancaster/affordable-air-inc"
"Air Max HVAC Inc","Burbank","California","91504","3000 Floyd St
Burbank, California 91504","818-830-9200","","https://www.lennox.com/locate/dealer/ca/beverly-hills/air-max-hvac-inc"
"Air One Air Conditioning & Heating","Colton","California","92324","491 N Wildrose Ave
Colton, California 92324","909-875-5252","","https://www.lennox.com/locate/dealer/ca/colton/air-one-ac-and-htg"
"Air Tro Inc","MONROVIA","California","91016-4634","1630 S MYRTLE AVE
MONROVIA, California 91016-4634","626-357-5311","http://www.airtro.com","https://www.lennox.com/locate/dealer/ca/monrovia/air-tro-inc"
"Aliso Air Inc","RANCHO SANTA MARGARITA","California","92688-2615","29736 AVENIDA DE LAS BANDERA
RANCHO SANTA MARGARITA, California 92688-2615","949-589-2021","http://www.alisoair.com/","https://www.lennox.com/locate/dealer/ca/rancho-santa-margarita/aliso-air-inc"
"All Air Heating Air Cond and Solar","LODI","California","95240-0873","248 COMMERCE ST STE B
LODI, California 95240-0873","209-368-4264","http://allairheatingandair.com","https://www.lennox.com/locate/dealer/ca/lodi/all-air-htg-ac-and-solar"
"All Heating and Air Cond","MILPITAS","California","95035-8916","386 GERALD CIR
MILPITAS, California 95035-8916","408-892-6555","","https://www.lennox.com/locate/dealer/ca/milpitas/all-heating-and-air-cond"
"All Pro Air","RIVERSIDE","California","92507-1702","1280 PALMYRITA AVE STE D
RIVERSIDE, California 92507-1702","951-684-0880","http://www.all-pro-air.com/","https://www.lennox.com/locate/dealer/ca/riverside/all-pro-air"
"Allstar Heating & Air Cond","BUELLTON","California","93427-9565","63 INDUSTRIAL WAY
BUELLTON, California 93427-9565","805-688-4018","","https://www.lennox.com/locate/dealer/ca/buellton/allstar-htg-and-ac"
"Alps AC & Htg Inc","Anaheim","California","92805","1895 S Santa Cruz St
Anaheim, California 92805","714-633-8892","http://orangecountyacandheating.com/","https://www.lennox.com/locate/dealer/ca/anaheim/alps-ac-and-htg-inc"
"American HVAC Inc","CAMPBELL","California","95008-4115","152 KENNEDY AVE
CAMPBELL, California 95008-4115","408-440-0304","","https://www.lennox.com/locate/dealer/ca/campbell/american-hvac-inc"
"Around The Clock HVAC","Los Angeles","California","90046","2338 Achilles Dr
Los Angeles, California 90046","(818) 765-0829","http://www.aroundclock.com","https://www.lennox.com/locate/dealer/ca/north-hollywood/around-the-clock-hvac"
"Associated Heating & Air","ANAHEIM","California","92807-1991","1320 N HANCOCK ST STE B
ANAHEIM, California 92807-1991","714-777-8833","http://www.associatedheatingandair.com","https://www.lennox.com/locate/dealer/ca/anaheim/associated-heating-and-air"
"Avis Plumbing Htg & Air Cond","ANAHEIM","California","92807-1629","1200 N JEFFERSON ST STE G
ANAHEIM, California 92807-1629","714-632-1317","","https://www.lennox.com/locate/dealer/ca/anaheim/avis-plumbing-htg-and-air-cond"
"Baker Home Energy","Escondido","California","92029","2120 Harmony Grove Rd
Escondido, California 92029","(877) 578-8080","https://www.bakerhomeenergy.com/heating-and-air-conditioning","https://www.lennox.com/locate/dealer/ca/escondido/baker-electric"
"Bell Brothers plumbing, Heating & Air","Mather","California","95655","10555 Norden Ave
Mather, California 95655","916-685-4616","","https://www.lennox.com/locate/dealer/ca/mather/bell-bros-htg-and-air"
"Bell Brothers of the East Bay","HAYWARD","California","94545-3807","3266 INVESTMENT BLVD
HAYWARD, California 94545-3807","510-471-8181","","https://www.lennox.com/locate/dealer/ca/hayward/bell-brothers-of-the-east-bay"
"Bellows Plbg Htg & Air Inc","Campbell","California","95008","100 Cristich Ln
Campbell, California 95008","408-866-4620","http://Www.BellowsService.com","https://www.lennox.com/locate/dealer/ca/soquel/bellows-plbg-htg-and-air-inc"
"Benchmark AC Inc","BAKERSFIELD","California","93308-6811","1920 MINERAL CT
BAKERSFIELD, California 93308-6811","661-393-5882","http://benchmarkairconditioning.com","https://www.lennox.com/locate/dealer/ca/bakersfield/benchmark-ac-inc"
"Big Builders","Bakersfield","California","93307-2204","2822 Citrus Ave
Bakersfield, California 93307-2204","","","https://www.lennox.com/locate/dealer/ca/bakersfield/big-builders"
"Bishop Heating & Air Cond","BISHOP","California","93514-2633","463 N WARREN ST
BISHOP, California 93514-2633","760-873-3892","","https://www.lennox.com/locate/dealer/ca/bishop/bishop-htg-and-ac"
"Blair Heating & Air","Palm Springs","California","92264-1502","653 Oleander Rd
Palm Springs, California 92264-1502","760-537-1120","http://www.blairheatingandair.com","https://www.lennox.com/locate/dealer/ca/palm-springs/blair-htg-and-air"
"Blake's Htg & Air Cond","DAVIS","California","95616-4721","1042 OLIVE DR
DAVIS, California 95616-4721","530-758-4030","","https://www.lennox.com/locate/dealer/ca/davis/blake's-htg-and-air-cond"
"Bonney Plumbing Inc","RANCHO CORDOVA","California","95670-6163","11101 Trade Center Dr
RANCHO CORDOVA, California 95670-6163","916-444-0551","http://www.BonneyPlumbing.com","https://www.lennox.com/locate/dealer/ca/rancho-cordova/bonney-plumbing-inc"
"Brian's Heating & Cooling","Fresno","California","93704","5132 N Palm Ave
Fresno, California 93704","559-675-1681","","https://www.lennox.com/locate/dealer/ca/fresno/brians-htg-and-clg"
"Burgesons Htg & AC","Redlands","California","92374-2952","620 Tennessee St
Redlands, California 92374-2952","909-793-3685","http://www.burgesons.com","https://www.lennox.com/locate/dealer/ca/redlands/burgesons-htg-and-ac"
"CABS HEATING & AIR CONDITIONING","West Sacramento","California","95605","950 Riverside Pkwy Suite 70
West Sacramento, California 95605","(916) 375-1800","https://www.cabshvac.com/","https://www.lennox.com/locate/dealer/ca/west-sacramento/cabs-htg-and-ac"
"Carswell Sheet Metal","SEASIDE","California","93955-3527","344 ROBERTS AVE
SEASIDE, California 93955-3527","831-372-0728","http://carswellheating.com","https://www.lennox.com/locate/dealer/ca/seaside/carswell-sheet-metal"
"Tassio Temperature Control Inc","CANOGA PARK","California","91304-1761","21026 OSBORNE ST STE 3
CANOGA PARK, California 91304-1761","818-368-1600","","https://www.lennox.com/locate/dealer/ca/canoga-park/castleworks-home-svcs-co"
"Cencal Mechanical Htg & Air Inc","Modesto","California","95351-1518","1254 Lone Palm Ave
Modesto, California 95351-1518","209-522-1124","","https://www.lennox.com/locate/dealer/ca/modesto/cencal-mechanical-htg-and-air-inc"
"Central Air Svcs","Upland","California","91786-8228","1326 Monte Vista Ave #3
Upland, California 91786-8228","909-980-1336","","https://www.lennox.com/locate/dealer/ca/upland/central-air-svcs"
"Clean Air HVAC","Pacheco","California","94553-5140","428 N Buchanan Cir #1
Pacheco, California 94553-5140","925-689-7017","","https://www.lennox.com/locate/dealer/ca/pacheco/clean-air-hvac"
"Coaches HVAC Extraordinair","Stockton","California","95204-1923","10 Downs St
Stockton, California 95204-1923","209-230-0651","","https://www.lennox.com/locate/dealer/ca/stockton/coaches-hvac-extraordinair"
"Comfort Air","Thousand Palms","California","92276","72248 Northshore St
Thousand Palms, California 92276","760-320-5800","http://www.comfortac.com/contact","https://www.lennox.com/locate/dealer/ca/thousand-palms/comfort-air"
"Comfort Energy Inc","MILPITAS","California","95035-3160","1465 N MILPITAS BLVD
MILPITAS, California 95035-3160","408-263-3100","","https://www.lennox.com/locate/dealer/ca/milpitas/comfort-energy-inc"
"Comfort Now Inc","VISALIA","California","93291-9254","1830 N KELSEY ST
VISALIA, California 93291-9254","559-697-5669","","https://www.lennox.com/locate/dealer/ca/visalia/comfort-now-inc"
"Comfy Heating & Air Conditioning Inc","San Leandro","California","94577-4224","1946 Republic Ave
San Leandro, California 94577-4224","510-317-7375","http://www.comfyhvac.com/","https://www.lennox.com/locate/dealer/ca/san-leandro/comfy-htg-and-ac-inc"
"Conditioned Aire","NORTHRIDGE","California","91324-4027","18650 PARTHENIA ST
NORTHRIDGE, California 91324-4027","818-886-1995","http://www.conditionedaire.com","https://www.lennox.com/locate/dealer/ca/northridge/conditioned-aire"
"Connor Air Conditioning & Heating Inc","Temple City","California","91780-3706","4931 Encinita Ave
Temple City, California 91780-3706","626-286-3157","","https://www.lennox.com/locate/dealer/ca/temple-city/connor-ac-and-refrig"
"Contra Costa Heating & Air Conditioning","SAN LEANDRO","California","94577-6617","14676 DOOLITTLE DR
SAN LEANDRO, California 94577-6617","510-632-7699","","https://www.lennox.com/locate/dealer/ca/san-leandro/contra-costa-htg-and-ac"
"Cool Air Solutions","Murrieta","California","92562-7028","41162 Sandalwood Cir #101
Murrieta, California 92562-7028","951-676-2665","http://www.coolairsolutions.com","https://www.lennox.com/locate/dealer/ca/murrieta/cool-air-solutions"
"Cypress Htg & Air Conditioning","GLENDORA","California","91741-3616","547 S LORAINE AVE
GLENDORA, California 91741-3616","626-963-9810","","https://www.lennox.com/locate/dealer/ca/glendora/cypress-htg-and-ac"
"Darrow Htg & AC Corp","NORTH HOLLYWOOD","California","91605-3734","11944 VALERIO ST
NORTH HOLLYWOOD, California 91605-3734","(818) 255-1600","","https://www.lennox.com/locate/dealer/ca/north-hollywood/darrow-htg-and-ac-corp"
"DeHart Plbg Htg & Air Inc","Modesto","California","95356-9292","311 Bitritto Wy
Modesto, California 95356-9292","209-523-4578","","https://www.lennox.com/locate/dealer/ca/modesto/dehart-plbg-htg-and-air-inc"
"Desert Air Conditioning","Palm Springs","California","92264-1551","590 Williams Rd
Palm Springs, California 92264-1551","760-323-3383","http://www.desertairps.com","https://www.lennox.com/locate/dealer/ca/palm-springs/desert-ac"
"Donald P Dick Air Cond","FRESNO","California","93703-4513","1444 N WHITNEY AVE
FRESNO, California 93703-4513","559-294-2100","http://www.mrcool4ac.com","https://www.lennox.com/locate/dealer/ca/fresno/donald-p-dick-ac"
"DS HEATING & AIR","Lancaster","California","93534-7033","42215 12TH ST W
Lancaster, California 93534-7033","661-310-3747","","https://www.lennox.com/locate/dealer/ca/lancaster/ds-htg-and-air"
"Dynamic Air Services Inc","LAKE FOREST","California","92630-2165","21088 BAKE PKWY
LAKE FOREST, California 92630-2165","949-340-3917","https://www.dynamicairservices.com","https://www.lennox.com/locate/dealer/ca/lake-forest/dynamic-air-svcs-inc"
"Econo Air","BREA","California","92821-3933","555 VANGUARD WAY
BREA, California 92821-3933","844-693-2666","http://www.myeconoair.com","https://www.lennox.com/locate/dealer/ca/brea/econo-air"
"Enertek","Northridge","California","91324-3561","19441 Business Center Drive #103
Northridge, California 91324-3561","818-727-9993","http://www.enertekac.com/","https://www.lennox.com/locate/dealer/ca/northridge/enertek"
